occurrenceID,scientificName,recordedBy,catalogNumber,recordNumber,occurrenceRemarks,eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,locationID,countryCode,stateProvince,county,locality
88eb86af-2884-4be1-8aae-f8c9bdca5e10,Schoenoplectus acutus (Muhl. ex Bigelow) Á.Löve & D.Löve,Rachel Hackett & Hillary Karbowski,BVF14-14,HK17,Population - Occasional. Some with fruits.,BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
5d26989f-0536-4159-bdc4-af1dd6bc5167,Eleocharis R.Br.,Rachel Hackett & Hillary Karbowski,BVF14-2,ELESPP,Population - Fruiting.,BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
fb8d1d65-bad6-4c42-a9da-e09f78d33681,Carex sterilis Willd.,Rachel Hackett & Hillary Karbowski,BVF14-3,RHHK133,"Population - Dominant, some male heads found.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
82d9b5b5-dcf5-4b3b-a6c5-8e33db920c2b,Carex prairea Dewey,Rachel Hackett & Hillary Karbowski,BVF14-4,RHHK64,"Population - No fruits, common.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
57964409-42b4-4ec0-9369-bf9978e78bda,Carex aquatilis Wahlenb.,Rachel Hackett & Hillary Karbowski,BVF14-5,RHHK119,"Population - Rare in area, one small clump in quadrat. No fruits.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
adc90b9d-5188-446f-bb6e-043ddb8891e4,Eupatorium perfoliatum L.,Rachel Hackett & Hillary Karbowski,BVF14-6,JP28,"Population - Flowering, abundant.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
9193f505-a498-44df-bd14-f81aaf432501,Symphyotrichum firmum (Nees) G.L.Nesom,Rachel Hackett & Hillary Karbowski,BVF14-7,RHHK645,"Population - Occasional, branching, no flowers.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
cb21530f-f444-4480-bba9-dcee03fbf4c8,Solidago patula Muhl. ex Willd.,Rachel Hackett & Hillary Karbowski,BVF14-8,RHHK644,"Population - Common, most flowering.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
eb980aaa-d8fa-4103-832b-1e14675973ba,Solidago uliginosa Nutt.,Rachel Hackett & Hillary Karbowski,BVF14-9,RHHK637,"Population - Occasional, budding, and blooming.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
7b4bb631-ba99-405c-ad66-3ae955e2dc83,Frangula alnus Mill.,Rachel Hackett & Hillary Karbowski,BVF1-5,RHHK153,"Population - Clumped, not very common in area, seen with Dasiphora fruticosa and Typha angustifolia.",BVF1,6/26/2012,2012,6,26,42.74693,-83.45055,BVF,US,Michigan,Oakland,Bridge Valley Fen
8ed4b7f2-2fb1-47d8-845d-8fa49f238c46,Carex stricta Lam.,Rachel Hackett & Hillary Karbowski,BVF15-1,RHHK430,"Population - Dominant Carex of area, distinct 10-35cm tussocks. No fruits.",BVF15,8/30/2012,2012,8,30,42.74491,-83.4496,BVF,US,Michigan,Oakland,Bridge Valley Fen
